Rank,Female Name,Count,Male Name,Count_
185,Alexandra,3848,Reuben,3263
186,Bridget,3742,Riley,3228
187,Stacey,3735,Harrison,3215
188,Dawn,3671,Clarence,3159
189,Clara,3662,Leon,3140
190,Cheryl,3645,Kelvin,3099
191,Caitlin,3644,Laurence,3092
192,Debra,3643,Sam,3072
193,Jade,3621,Gerald,3050
194,Martha,3594,Marcus,3047
195,Jeanette,3587,Brendan,3007
196,Toni,3580,Oscar,3003
197,Jillian,3578,Allen,2994
198,Leah,3563,Maxwell,2967
199,Isabel,3560,Antony,2957
200,Ashleigh,3557,Cody,2943
201,Jocelyn,3522,Ashley,2851
202,Iris,3477,Ralph,2849
203,Lorna,3458,Zachary,2806
204,Lilian,3453,Wiremu,2783
205,Sylvia,3452,Elijah,2762
206,Beatrice,3445,Jake,2731
207,Gail,3400,Stewart,2689
208,Erin,3391,Gareth,2648
209,Norma,3384,Rhys,2648
210,Lynda,3376,Denis,2621
211,Bronwyn,3366,Archibald,2602
212,Janine,3365,Dion,2598
213,Madison,3350,Cooper,2517
214,Anita,3342,Finn,2503
215,Courtney,3341,Evan,2474
216,Shelley,3319,Darryl,2467
217,Gillian,3293,Kieran,2456
218,Lillian,3292,Corey,2449
219,Mia,3286,Christian,2441
220,Maree,3269,Alistair,2392
221,Harriet,3217,Toby,2386
222,Tina,3215,Aidan,2370
223,Ava,3177,Campbell,2360
224,Marilyn,3167,Terry,2358
225,Noeline,3162,Lee,2345
226,Kay,3138,Lionel,2333
227,Stella,3126,Kane,2317
228,Constance,3107,Sidney,2314
229,Isla,3096,Todd,2282
230,Shona,3069,Lloyd,2279
231,Gertrude,3054,Wilfred,2260
232,Ida,3050,Clive,2256
233,Kayla,3049,Ricky,2240
234,Sheryl,3040,Howard,2228
235,Penelope,3023,Damian,2212
236,Gloria,2999,Julian,2212
237,Kerry,2965,Warwick,2209
238,Shannon,2951,Hector,2193
239,Philippa,2940,Xavier,2193
240,Sara,2924,Zane,2164
241,Monique,2891,Regan,2119
242,Molly,2883,Bevan,2117
243,Beryl,2859,Bryce,2114
244,Aimee,2850,Gilbert,2112
245,Ashley,2829,Dominic,2093
246,Daisy,2795,Taylor,2055
247,Kirsty,2734,Clinton,2031
248,Abigail,2729,Selwyn,1996
249,Gemma,2706,Eli,1979
250,Theresa,2695,Guy,1943
251,Rochelle,2689,Gerard,1899
252,Adrienne,2654,Roderick,1899
253,Nola,2651,Claude,1850
254,Phoebe,2618,Horace,1839
255,Naomi,2614,Tom,1828
256,Nellie,2606,Micheal,1819
257,Chelsea,2574,Harley,1814
258,Vivienne,2568,Nathaniel,1803
259,Lydia,2544,Dale,1800
260,Alma,2541,Brandon,1786
261,Jan,2537,Andre,1785
262,Veronica,2532,Arnold,1773
263,Jill,2470,Archie,1755
264,Gabrielle,2469,Terrence,1755
265,Minnie,2461,Flynn,1751
266,Gwendoline,2459,Ashton,1748
267,Belinda,2453,Sebastian,1729
268,Tessa,2436,Basil,1693
269,Maia,2412,Fraser,1687
270,Clare,2372,Vernon,1678
271,Monica,2355,Edgar,1674
272,Nina,2334,Carter,1657
273,Tanya,2317,Luca,1653
274,Matilda,2298,Alastair,1652
275,Leonie,2256,Theodore,1651
276,Flora,2225,Travis,1649
277,Fay,2220,Shannon,1638
278,Myra,2217,Bailey,1633
279,Maud,2214,Daryl,1630
280,Lynne,2200,Cole,1605
281,Cherie,2193,Lincoln,1590
282,Kirsten,2182,Gabriel,1586
283,Tayla,2168,Jay,1577
284,Kimberley,2152,Felix,1571
285,Glenda,2150,Austin,1570
286,Lee,2126,Jarrod,1552
287,Glenys,2104,Garth,1539
288,Bertha,2099,Tristan,1534
289,Bella,2081,Cory,1513
290,Aroha,2078,Vaughan,1508
291,Alana,2071,Rory,1503
292,Maddison,2071,Sione,1482
293,Beverly,2069,Roland,1476
294,Debbie,2056,Morgan,1468
295,Helena,2054,Trent,1454
296,Lilly,2023,Reece,1451
297,Michele,2023,Seth,1433
298,Summer,2009,Kurt,1422
299,Mona,1998,Edmund,1421
300,Jamie,1996,Eugene,1404
